story_id,keyword_id,keyword
6081,626,Ewiger Jude
12249,3354,Schwester
5039,4,historical legends
11826,7012,Mäuse machen etc.
14184,29,witches
16628,3822,gut
19073,1093,Brüder
12413,72,local legends: varia
19396,19398,Christi Blut
19715,4,historical legends
5050,2223,Elster lehrt Taube Nest bauen
7476,16,sacrilege
16768,53,robbers
9970,870,"Tote red., erste Frau, Mutter"
15780,2191,Pale girl
2285,53,robbers
14739,4,historical legends
9876,16,sacrilege
10732,602,Plut (Teil einer Semmel)
13911,6254,Hemd etc.
14567,784,wissen
16471,555,moort
6282,53,robbers
14653,10914,Schinner
8022,93,Toter
10252,63,Blocksberg
9703,245,Keller
2885,1064,"Unschuldig: Taube, Torgelow etc."
7929,4879,Dörfer
17982,2268,man
13287,4,historical legends
15814,292,Riese
19127,431,Seven-year war
16916,91,dead
14020,8356,"Juden, Hostie"
1058,1067,sieben (Zahl)
15066,63,Blocksberg
5960,188,Mädchen
4340,307,Wasser
15161,63,Blocksberg
13312,16,sacrilege
18470,869,Mutter
2891,16,sacrilege
11350,8,"Sage, historische"
19115,19118,liefern
2989,1064,"Unschuldig: Taube, Torgelow etc."
11455,233,"Tiersagen, Märchen I"
5017,8,"Sage, historische"
10708,1078,Johannismiddag
2420,8,"Sage, historische"
19227,554,Taufe
8130,1718,Säbenrand
7179,2626,Fischersagen
7453,72,local legends: varia
15441,1156,hinrichten
9154,4,historical legends
7158,7133,Stroh etc.
15749,190,Pfannkuchen
15328,72,local legends: varia
19497,4,historical legends
11520,407,Totenmesse
19290,848,"Pferd, allg. Abwehr etc."
6456,117,quid
1553,733,Wenden (Nation)
9057,560,Zwergensage
7968,6609,Streiche
12358,269,Self-transformation into the wolf form by means of magic
3083,986,"30-/100-year war, blending"
8663,290,giants
11396,10250,Spruch
4589,4,historical legends
5669,8,"Sage, historische"
5136,29,witches
2987,407,Totenmesse
1050,80,werewolf
4923,289,Stein
1269,16,sacrilege
6096,8,"Sage, historische"
17872,64,Blocksberg varia
18144,4,historical legends
6764,91,dead
8123,957,"Pumpfuß, Columbus"
19098,1854,Russian people
6540,1091,unterirdischer Gang
9362,1712,Victim
14256,93,Toter
6227,91,dead
17522,17524,Gegend von Plau Tuckhoot
18034,496,"Wiederkehr, Totenhemd"
17157,942,Gewitter
13007,16,sacrilege
14326,91,dead
6972,16,sacrilege
12121,91,dead
6536,91,dead
2055,30,on cattle
10033,4,historical legends
13549,6441,Seeräuber Varia
9139,957,"Pumpfuß, Columbus"
19315,799,Blutstropfen
8642,1497,Name
3277,32,Hexe
19589,809,Teufel
10558,1718,Säbenrand
19999,149,Maitag
12527,52,Räuber
10519,290,giants
18380,364,Pferd
16485,289,Stein
11522,543,Opfer
17805,64,Blocksberg varia
19403,80,werewolf
3241,3242,Botschaft vom Jenseits
8137,4,historical legends
12411,29,witches
11975,91,dead
4445,72,local legends: varia
17601,16,sacrilege
5710,93,Toter
16501,9257,durchkriechen
7570,1265,Herr
7387,93,Toter
2746,2671,Riesensage
392,396,Cow
3849,1162,Gälknoeker
8518,482,Edelleute
12008,32,Hexe
2160,70,Horse shoe etc.
18672,16,sacrilege
13430,466,Kirchliches
15310,13905,Wind
7888,496,"Wiederkehr, Totenhemd"
822,825,wild hunt
10622,93,Toter
16365,16,sacrilege
4052,256,Ring
10625,45,Lokalsage
17044,4,historical legends
4151,290,giants
7315,19,Scheidengänger
11013,131,French people
18982,70,Horse shoe etc.
1243,1069,Taube
7570,250,"Kette tragen, Ring"
19172,19175,"Rosenkranz hinein, Stein in See etc."
9798,45,Lokalsage
18856,193,Märchen
17490,555,moort
805,814,Graf
8566,1718,Säbenrand
10397,2665,Various
18173,4523,dick
14181,91,dead
10600,10602,Kaufmann
14188,41,local legends
5664,1659,Schmied
6805,407,Totenmesse
12336,290,giants
16130,420,"Persönlichkeiten, Familie etc."
15478,8,"Sage, historische"
3939,1768,danzen
11340,91,dead
14650,14652,Glucke
16004,784,wissen
6678,6642,Seele als Maus
1209,1211,Robber-knight
2758,4,historical legends
17135,825,wild hunt
6828,6830,"Teufel, Namen a"
8763,8765,Rooster
16383,407,Totenmesse
18403,928,buttern
13865,4,historical legends
12040,4479,Wald
13549,52,Räuber
6635,2266,Schwanz
15161,7020,Blocksberg Mahl
1220,1093,Brüder
3316,30,on cattle
8153,16,sacrilege
1165,599,Ewig Leben: I
16696,5010,rauben
